Approval,Debt-to-Income Ratio,FICO Score,Request Amount,Interest
F,0.3,688,9000,4050
F,0.17,613,15000,6750
F,0.6,692,14000,6300
T,0.12,772,19000,8550
T,0.26,669,21000,9450
T,0.22,815,8000,3600
T,0.14,692,35000,15750
T,0.11,663,13000,5850
T,0.18,676,16000,7200
F,0.31,575,17000,7650
T,0.11,684,11000,4950
T,0.21,673,14000,6300
T,0.11,693,9000,4050
F,0.21,618,12000,5400
T,0.23,698,22000,9900
F,0.3,667,2000,900
T,0.09,680,500,225
T,0.08,687,7000,3150
F,0.11,492,26000,11700
T,0.02,697,22000,9900
F,0.08,653,15000,6750
F,0.19,660,23000,10350
T,0.06,701,10000,4500
F,0.2,733,12000,5400
F,0.04,700,7000,3150
F,0.07,592,9000,4050
F,0.36,719,21000,9450
F,0.06,573,5000,2250
F,0.2,557,3000,1350
F,0.18,489,20000,9000
F,0.01,618,5000,2250
T,0.17,704,21000,9450
F,0.06,537,4000,1800
T,0.09,660,18000,8100
T,0.15,684,13000,5850
F,0.02,469,3000,1350
F,0.02,772,7000,3150
F,0,617,13000,5850
F,0.21,608,13000,5850
T,0.12,710,3000,1350
F,0.06,532,9000,4050
T,0.19,717,8000,3600
F,0.42,585,6000,2700
T,0.1,683,21000,9450
T,0.04,736,23000,10350
F,0.05,598,8000,3600
T,0.16,690,12000,5400
F,0.29,681,25000,11250
T,0.11,720,8000,3600
F,0.01,618,500,225
F,0.34,691,17000,7650
T,0.22,683,6000,2700
F,0.1,513,5000,2250
T,0.09,769,4000,1800
F,0.5,706,38000,17100
F,0.47,665,16000,7200
T,0.29,762,16000,7200
T,0.01,752,16000,7200
T,0.07,728,23000,10350
F,0.29,682,29000,13050
T,0.3,791,9000,4050
F,0.2,668,5000,2250
F,0.09,609,5000,2250
F,0.18,584,1000,450
F,0.09,579,3000,1350
F,0.37,615,9000,4050
F,0.35,560,2000,900
T,0.09,750,4000,1800
F,0.47,665,13000,5850
F,0.32,601,19000,8550
T,0.16,726,25000,11250
T,0.2,716,18000,8100
F,0.15,618,12000,5400
T,0.27,690,2000,900
F,0.16,507,4000,1800
T,0.2,681,10000,4500
F,0.21,749,34000,15300
T,0.05,750,18000,8100
T,0.07,775,12000,5400
T,0.21,682,29000,13050
T,0.24,684,4000,1800
T,0.27,684,15000,6750
T,0.06,760,17000,7650
T,0.19,685,23000,10350
T,0.18,695,9000,4050
F,0.02,569,500,225
T,0.06,763,3000,1350
T,0.23,690,13000,5850
F,0.28,636,2000,900
T,0.22,668,18000,8100
T,0.17,683,18000,8100
T,0.22,725,2000,900
T,0.26,734,33000,14850
F,0.34,650,9000,4050
F,0.37,629,17000,7650
T,0.2,696,17000,7650
F,0.03,640,12000,5400
T,0.15,699,8000,3600
F,0.23,700,17000,7650
T,0.12,725,3000,1350
F,0.09,543,27000,12150
T,0.08,697,13000,5850
T,0.3,664,18000,8100
T,0.16,682,4000,1800
F,0.2,675,36000,16200
F,0.36,688,34000,15300
T,0.07,662,10000,4500
F,0.35,754,19000,8550
T,0.22,676,30000,13500
T,0.04,736,26000,11700
T,0.12,781,8000,3600
T,0.2,687,34000,15300
F,0.22,630,17000,7650
F,0.04,543,3000,1350
T,0.15,673,8000,3600
T,0.14,709,17000,7650
T,0.29,724,8000,3600
F,0.02,718,25000,11250
T,0.18,695,4000,1800
T,0.14,672,14000,6300
T,0.14,677,14000,6300
T,0.07,683,13000,5850
T,0.16,675,13000,5850
F,0.29,569,3000,1350
F,0.11,500,3000,1350
T,0.25,689,6000,2700
T,0.23,691,8000,3600
T,0.25,712,10000,4500
T,0.1,729,12000,5400
T,0.18,725,19000,8550
T,0.06,676,7000,3150
T,0.11,682,12000,5400
F,0.01,574,5000,2250
T,0.17,749,27000,12150
T,0.18,703,6000,2700
T,0.14,677,7000,3150
T,0.07,697,3000,1350
F,0.09,522,14000,6300
F,0.12,564,2000,900
F,0.5,699,33000,14850
T,0.09,751,13000,5850
F,0.19,584,32000,14400
F,0.36,679,8000,3600
T,0.14,742,15000,6750
T,0.25,675,11000,4950
T,0.2,685,9000,4050
T,0.09,664,7000,3150
T,0.07,702,18000,8100
T,0.1,696,8000,3600
F,0.37,693,24000,10800
T,0,658,3000,1350
F,0.12,545,2000,900
T,0.13,727,8000,3600
F,0.56,658,24000,10800
T,0.09,726,2000,900
T,0.07,686,12000,5400
T,0.11,694,17000,7650
T,0.09,731,3000,1350
F,0.21,631,1000,450
F,0.22,696,15000,6750
F,0.27,712,21000,9450
F,0.03,605,2000,900
T,0.07,813,6000,2700
T,0.02,758,33000,14850
F,0.01,686,19000,8550
F,0.91,468,9000,4050
T,0.24,720,9000,4050
F,0.09,450,35000,15750
T,0.12,702,19000,8550
T,0.13,675,9000,4050
F,0.51,642,23000,10350
F,0.14,467,3000,1350
T,0.04,750,9000,4050
F,0.11,686,13000,5850
T,0.02,749,5000,2250
T,0.21,672,8000,3600
F,0.09,640,1000,450
T,0.2,692,12000,5400
T,0.22,740,2000,900
T,0.1,777,13000,5850
F,0.25,742,31000,13950
F,0.07,602,18000,8100
T,0.01,728,3000,1350
T,0.14,675,5000,2250
T,0.23,659,15000,6750
F,0.01,521,11000,4950
T,0.26,705,24000,10800
F,0.28,650,28000,12600
F,0.08,682,20000,9000
F,0.54,713,34000,15300
T,0.19,709,1000,450
T,0.18,726,7000,3150
F,0.19,679,4000,1800
F,0.18,668,7000,3150
T,0.19,801,3000,1350
T,0.09,742,7000,3150
T,0.12,719,21000,9450
F,0.11,662,21000,9450
T,0.08,710,11000,4950
T,0.2,731,8000,3600
F,0.24,533,500,225
T,0.09,726,13000,5850
F,0.17,680,2000,900
F,0.35,735,8000,3600
F,0.26,644,29000,13050
F,0.03,560,10000,4500
T,0.12,701,33000,14850
T,0.07,811,36000,16200
F,0.01,498,7000,3150
T,0.27,652,14000,6300
F,0.13,651,33000,14850
T,0.07,745,4000,1800
F,0.04,613,4000,1800
F,0.14,490,6000,2700
T,0.09,728,21000,9450
F,0.34,649,28000,12600
T,0.09,722,17000,7650
T,0.1,739,12000,5400
F,0.01,706,7000,3150
F,0.05,587,4000,1800
T,0.03,725,6000,2700
T,0.1,663,33000,14850
T,0.18,689,6000,2700
T,0,708,500,225
T,0.06,741,12000,5400
F,0.25,707,29000,13050
F,0.02,715,24000,10800
T,0.14,749,28000,12600
F,0.04,664,22000,9900
F,0.21,496,8000,3600
F,0.26,684,14000,6300
F,0.19,446,7000,3150
T,0.04,688,16000,7200
T,0.14,690,12000,5400
T,0.29,668,13000,5850
F,0.34,641,1000,450
F,0.12,572,13000,5850
T,0.31,703,13000,5850
T,0.16,670,34000,15300
T,0.07,670,10000,4500
T,0.08,694,7000,3150
T,0.14,740,13000,5850
T,0.3,744,4000,1800
T,0.06,744,5000,2250
T,0.21,671,15000,6750
T,0.03,740,2000,900
F,0.04,537,2000,900
F,0.09,603,1000,450
F,0.12,802,5000,2250
T,0.23,699,25000,11250
F,0.22,777,12000,5400
F,0.31,709,4000,1800
T,0.11,669,4000,1800
F,0.07,692,15000,6750
T,0.23,743,15000,6750
F,0.4,462,2000,900
F,0.09,669,11000,4950
F,0.28,710,21000,9450
T,0.16,680,10000,4500
F,0.02,563,3000,1350
F,0.31,725,18000,8100
F,0.05,667,14000,6300
F,0.27,698,28000,12600
F,0.37,600,4000,1800
F,0.28,667,10000,4500
T,0.22,716,19000,8550
F,0.34,631,6000,2700
T,0.16,715,21000,9450
F,0.13,622,39000,17550
F,0.38,647,10000,4500
F,0.04,473,1000,450
F,0.29,648,11000,4950
T,0.26,691,8000,3600
T,0.3,715,8000,3600
T,0.19,703,34000,15300
T,0.08,774,12000,5400
T,0.18,670,10000,4500
F,0.16,674,24000,10800
T,0.07,678,4000,1800
T,0.05,728,20000,9000
F,0.18,479,7000,3150
F,0.83,689,9000,4050
F,0.29,695,35000,15750
F,0.22,655,8000,3600
F,0.45,713,17000,7650
T,0.22,664,13000,5850
F,0.31,722,7000,3150
T,0.24,657,6000,2700
F,0.08,692,12000,5400
F,0.11,598,35000,15750
T,0.17,681,12000,5400
F,0.11,676,6000,2700
F,0.14,600,13000,5850
T,0.16,672,26000,11700
T,0.08,665,27000,12150
F,0.28,658,9000,4050
F,0.29,664,15000,6750
F,0.13,570,7000,3150
T,0.25,743,12000,5400
T,0.11,734,14000,6300
F,0.17,719,8000,3600
F,0.34,624,25000,11250
T,0.13,692,15000,6750
T,0.23,709,24000,10800
T,0.24,648,8000,3600
T,0.21,729,7000,3150
F,0.32,579,4000,1800
F,0,718,7000,3150
F,0.47,669,9000,4050
T,0.06,746,10000,4500
T,0.08,753,34000,15300
T,0.08,689,3000,1350
T,0.22,691,8000,3600
T,0.11,724,8000,3600
F,0.37,711,6000,2700
T,0.19,710,7000,3150
T,0.04,681,10000,4500
F,0.3,682,18000,8100
F,0.11,650,8000,3600
T,0.11,716,20000,9000
F,0.02,499,5000,2250
F,0,600,4000,1800
F,0.37,681,35000,15750
F,0.26,701,8000,3600
F,0.35,610,24000,10800
T,0.14,727,11000,4950
T,0.15,732,14000,6300
T,0.18,682,22000,9900
T,0.15,673,18000,8100
T,0.13,679,8000,3600
T,0.06,705,3000,1350
T,0.27,687,2000,900
F,0.01,671,8000,3600
F,0.33,658,35000,15750
F,0.04,651,14000,6300
T,0.24,693,6000,2700
F,0.13,683,3000,1350
F,0.39,678,15000,6750
F,0.07,504,2000,900
F,0.11,570,5000,2250
T,0.09,694,30000,13500
F,0.17,673,34000,15300
F,0.61,612,14000,6300
T,0.28,733,11000,4950
F,0.34,693,24000,10800
T,0.27,672,8000,3600
F,0.05,542,7000,3150
F,0.25,607,15000,6750
F,0.14,537,7000,3150
T,0.27,661,33000,14850
F,0.15,592,4000,1800
T,0.18,753,33000,14850
F,0.03,663,17000,7650
F,0,539,23000,10350
F,0.27,652,14000,6300
T,0.02,670,13000,5850
F,0.13,621,2000,900
T,0.18,690,4000,1800
T,0.05,737,6000,2700
F,0.01,728,23000,10350
F,0.01,561,26000,11700
T,0.23,688,20000,9000
F,0.13,731,7000,3150
T,0.28,686,5000,2250
T,0.08,703,4000,1800
T,0.1,647,29000,13050
F,0.01,735,27000,12150
F,0.51,714,30000,13500
F,0.21,640,500,225
T,0.09,739,27000,12150
F,0.17,634,15000,6750
F,0.08,730,7000,3150
T,0.05,680,6000,2700
T,0.2,711,6000,2700
T,0.18,729,24000,10800
T,0.23,675,4000,1800
T,0.03,701,22000,9900
F,0.09,500,2000,900
T,0.22,703,5000,2250
F,0.23,623,24000,10800
T,0.09,745,12000,5400
T,0.01,655,8000,3600
T,0.14,678,8000,3600
T,0.18,758,7000,3150
F,0.5,590,3000,1350
T,0.21,710,5000,2250
T,0.33,676,6000,2700
F,0.24,517,7000,3150
F,0.44,595,6000,2700
T,0.04,707,5000,2250
F,0.37,608,9000,4050
T,0.05,727,20000,9000
F,0.02,720,14000,6300
F,0.28,655,13000,5850
F,0.36,550,2000,900
F,0.02,551,3000,1350
F,0.13,653,34000,15300
T,0.15,755,8000,3600
T,0.23,757,7000,3150
F,0.25,681,17000,7650
T,0.25,672,25000,11250
T,0.26,782,9000,4050
T,0.05,689,3000,1350
T,0.1,701,7000,3150
T,0.23,673,19000,8550
T,0.09,705,12000,5400
F,0.18,573,500,225
F,0.17,675,7000,3150
T,0.1,673,13000,5850
T,0.12,712,7000,3150
T,0.05,715,20000,9000
T,0.08,733,6000,2700
T,0.26,709,18000,8100
F,0.43,653,16000,7200
F,0.14,643,27000,12150
T,0.07,736,5000,2250
T,0.15,703,11000,4950
F,0.07,709,7000,3150
F,0.21,727,13000,5850
T,0.29,688,8000,3600
T,0.1,712,8000,3600
F,0.18,683,34000,15300
T,0.08,668,9000,4050
T,0.09,654,5000,2250
T,0.16,699,27000,12150
T,0.13,760,8000,3600
F,0.22,588,3000,1350
T,0.04,682,5000,2250
T,0.19,706,5000,2250
T,0.17,724,11000,4950
T,0.09,764,11000,4950
F,0.06,559,1000,450
F,0.1,572,5000,2250
T,0.15,693,14000,6300
F,0.14,609,1000,450
T,0.2,690,10000,4500
T,0.12,797,12000,5400
T,0.05,649,5000,2250
F,0.1,730,18000,8100
F,0.18,656,19000,8550
F,0.16,708,24000,10800
T,0.17,665,11000,4950
F,0.12,651,21000,9450
T,0.04,735,1000,450
F,0.51,639,3000,1350
F,0.2,608,21000,9450
T,0.18,696,4000,1800
F,0.04,613,17000,7650
T,0.02,792,36000,16200
F,0.01,529,2000,900
T,0.18,717,10000,4500
T,0.12,714,500,225
F,0.04,632,15000,6750
F,0.54,721,7000,3150
T,0.34,706,12000,5400
F,0.15,491,2000,900
T,0.15,683,500,225
T,0.09,759,19000,8550
F,0.09,533,9000,4050
T,0.11,665,6000,2700
F,0.31,685,19000,8550
F,0.12,465,19000,8550
F,0.44,677,8000,3600
T,0.19,701,17000,7650
F,0.06,636,7000,3150
T,0.13,700,12000,5400
F,0.28,651,22000,9900
T,0.23,678,11000,4950
T,0.31,747,21000,9450
F,0.08,577,12000,5400
F,0.03,642,10000,4500
T,0.3,689,19000,8550
T,0.19,693,12000,5400
T,0.15,715,8000,3600
T,0.06,663,6000,2700
T,0.06,715,7000,3150
F,0.09,614,12000,5400
F,0.83,723,14000,6300
T,0.08,749,500,225
T,0.11,688,9000,4050
T,0.04,685,11000,4950
F,0.51,697,3000,1350
F,0.66,501,2000,900
F,0.13,661,19000,8550
T,0.12,715,9000,4050
T,0.16,717,9000,4050
T,0.16,689,33000,14850
F,0.34,598,34000,15300
T,0.22,710,6000,2700
T,0.06,679,11000,4950
F,0.28,678,29000,13050
T,0.23,686,14000,6300
F,0.3,449,13000,5850
T,0.07,667,14000,6300
T,0.08,795,16000,7200
F,0.05,544,19000,8550
T,0.25,663,33000,14850
T,0.14,744,31000,13950
T,0.19,686,12000,5400
F,0.3,704,23000,10350
T,0.2,695,19000,8550
F,0.25,617,33000,14850
T,0.2,752,38000,17100
T,0.02,705,14000,6300
F,0.12,613,20000,9000
T,0.08,685,29000,13050
F,0.14,652,13000,5850
F,0.4,513,4000,1800
F,0.42,619,31000,13950
F,0.03,714,16000,7200
F,0.19,587,34000,15300
F,0.09,611,13000,5850
T,0.19,730,5000,2250
T,0.2,698,21000,9450
F,0.04,617,12000,5400
T,0.13,701,20000,9000
T,0.05,710,21000,9450
T,0.07,695,27000,12150
T,0.08,760,22000,9900
F,0.88,687,29000,13050
F,0.03,812,7000,3150
F,0.18,682,37000,16650
T,0.2,667,8000,3600
F,0.17,541,9000,4050
F,0.16,518,3000,1350
T,0.07,708,6000,2700
T,0.2,670,16000,7200
F,0.49,536,4000,1800
T,0.11,671,7000,3150
F,0.21,671,13000,5850
T,0.13,704,8000,3600
T,0.09,689,17000,7650
F,0.68,621,1000,450
T,0.16,725,33000,14850
F,0.24,674,23000,10350
F,0.02,696,12000,5400
T,0.13,784,6000,2700
F,0.16,644,5000,2250
T,0.08,732,8000,3600
F,0.07,658,19000,8550
F,0.07,739,26000,11700
F,0.4,748,13000,5850
F,0.12,529,28000,12600
T,0.01,744,19000,8550
T,0.12,717,1000,450
T,0.02,738,7000,3150
T,0.16,752,12000,5400
F,0.04,522,4000,1800
F,0.02,761,13000,5850
T,0.26,668,10000,4500
F,0.28,689,38000,17100
T,0.15,708,15000,6750
T,0.21,671,11000,4950
T,0.09,765,4000,1800
F,0.38,682,31000,13950
F,0.04,676,13000,5850
F,0.21,744,33000,14850
F,0.06,782,3000,1350
T,0.23,703,18000,8100
T,0.16,726,24000,10800
T,0.11,686,34000,15300
F,0,656,9000,4050
T,0.12,787,3000,1350
F,0.25,710,30000,13500
T,0.16,726,6000,2700
F,0.03,805,11000,4950
T,0.09,683,19000,8550
F,0.66,736,35000,15750
T,0.12,799,21000,9450
T,0.24,656,10000,4500
F,0.29,501,8000,3600
T,0.06,689,17000,7650
T,0.12,731,32000,14400
F,0.16,520,1000,450
F,0.08,700,37000,16650
T,0.1,716,4000,1800
F,0.02,584,34000,15300
T,0.08,748,11000,4950
F,0.05,525,34000,15300
T,0.08,650,14000,6300
F,0.38,505,3000,1350
F,0.22,651,16000,7200
F,0.06,632,4000,1800
F,0.43,659,18000,8100
T,0.1,707,25000,11250
F,0.11,609,2000,900
T,0.08,816,37000,16650
T,0.21,673,2000,900
T,0.02,722,8000,3600
F,0.14,657,19000,8550
T,0.21,653,5000,2250
F,0.11,472,7000,3150
F,0.45,609,5000,2250
F,0.08,760,27000,12150
F,0.31,696,2000,900
F,0.71,556,25000,11250
F,0.32,695,18000,8100
F,0.13,763,34000,15300
F,0.07,694,17000,7650
F,0.14,562,1000,450
T,0.06,672,35000,15750
T,0.2,734,4000,1800
F,0,456,22000,9900
T,0.13,677,15000,6750
T,0.16,698,11000,4950
T,0.2,740,11000,4950
T,0.2,729,4000,1800
T,0.32,692,20000,9000
T,0.11,680,22000,9900
F,0.19,527,6000,2700
T,0.25,711,24000,10800
T,0.22,748,19000,8550
F,0.08,634,6000,2700
T,0.18,736,7000,3150
F,0.06,666,7000,3150
T,0.18,695,11000,4950
F,0.03,522,6000,2700
T,0.04,727,27000,12150
F,0.17,565,12000,5400
T,0.22,750,9000,4050
F,0.28,696,25000,11250
T,0.04,753,15000,6750
T,0.29,719,6000,2700
T,0.18,709,26000,11700
T,0.03,667,1000,450
T,0.23,795,5000,2250
T,0.27,689,10000,4500
T,0.14,671,4000,1800
T,0.13,702,10000,4500
F,0.19,620,12000,5400
T,0.14,692,10000,4500
F,0.17,634,20000,9000
F,0.01,675,1000,450
T,0.25,729,8000,3600
F,0.21,683,7000,3150
T,0.17,710,10000,4500
T,0.16,730,2000,900
F,0.6,708,31000,13950
T,0.11,796,12000,5400
F,0.33,600,16000,7200
F,0.01,734,11000,4950
F,0.32,700,24000,10800
T,0.13,678,19000,8550
T,0.21,722,8000,3600
F,0.07,517,33000,14850
T,0.1,800,12000,5400
T,0.22,697,21000,9450
T,0.28,678,25000,11250
F,0.11,705,40000,18000
F,0.06,574,4000,1800
F,0,675,5000,2250
F,0.09,659,10000,4500
F,0.78,637,36000,16200
T,0.18,734,14000,6300
T,0.01,737,11000,4950
T,0.09,776,5000,2250
T,0.15,703,6000,2700
F,0.17,460,1000,450
F,0.07,606,16000,7200
F,0.32,685,4000,1800
T,0.15,717,34000,15300
T,0.21,739,15000,6750
T,0.22,696,16000,7200
T,0.12,702,6000,2700
F,0.06,463,5000,2250
T,0.18,686,18000,8100
F,0.07,484,500,225
T,0.22,704,8000,3600
F,0.21,653,6000,2700
F,0.1,597,4000,1800
F,0.3,674,13000,5850
T,0.14,707,8000,3600
F,0.1,515,3000,1350
T,0.31,703,14000,6300
T,0.28,709,3000,1350
T,0.19,754,32000,14400
F,0.07,621,5000,2250
T,0.23,704,1000,450
F,0.51,716,5000,2250
F,0.02,614,3000,1350
F,0.17,709,23000,10350
T,0.07,800,18000,8100
T,0.11,797,3000,1350
T,0.02,728,17000,7650
T,0.07,740,30000,13500
T,0.17,682,13000,5850
F,0.29,707,19000,8550
F,0.42,676,4000,1800
F,0.19,637,35000,15750
F,0.08,633,4000,1800
T,0.16,688,500,225
F,0.13,638,3000,1350
T,0.13,675,21000,9450
T,0.08,707,14000,6300
F,0.02,670,9000,4050
F,0.3,654,17000,7650
T,0.14,682,14000,6300
F,0.12,654,12000,5400
T,0.28,681,8000,3600
T,0.23,742,10000,4500
T,0.13,683,16000,7200
T,0.26,807,33000,14850
F,0.04,601,1000,450
F,0.05,623,13000,5850
F,0.33,681,9000,4050
T,0.28,701,31000,13950
F,0.37,402,12000,5400
T,0.09,695,12000,5400
T,0.03,808,6000,2700
F,0.09,705,20000,9000
F,0.02,553,2000,900
F,0.53,723,10000,4500
T,0.16,698,18000,8100
T,0.1,712,5000,2250
F,0.22,681,10000,4500
F,0.31,750,30000,13500
T,0.04,712,13000,5850
F,0.24,752,14000,6300
T,0.17,710,16000,7200
F,0.15,594,6000,2700
F,0.02,485,5000,2250
T,0.09,726,14000,6300
F,0.21,581,6000,2700
T,0.16,663,10000,4500
F,0.34,606,19000,8550
F,0.05,647,23000,10350
F,0.34,722,21000,9450
T,0.14,717,13000,5850
F,0.15,642,36000,16200
T,0.15,731,12000,5400
T,0.1,666,32000,14400
T,0.19,656,17000,7650
T,0.13,687,25000,11250
F,0.14,707,32000,14400
T,0.07,722,3000,1350
F,0.28,489,25000,11250
F,0.16,537,10000,4500
F,0.12,658,3000,1350
F,0.02,631,3000,1350
T,0.1,667,5000,2250
F,0.37,769,19000,8550
T,0.29,682,20000,9000
F,0.02,715,15000,6750
F,0.13,725,16000,7200
T,0.28,721,10000,4500
F,0.08,472,5000,2250
F,0.56,661,12000,5400
F,0.27,709,30000,13500
T,0.03,790,3000,1350
F,0.34,565,13000,5850
T,0.26,767,500,225
T,0.22,683,16000,7200
F,0.04,639,2000,900
F,0.11,607,4000,1800
F,0.44,606,4000,1800
F,0.19,725,30000,13500
F,0.34,585,20000,9000
T,0.19,688,4000,1800
F,0.67,645,10000,4500
T,0.05,740,19000,8550
T,0.15,727,18000,8100
T,0.21,693,7000,3150
T,0.25,725,36000,16200
T,0.02,708,19000,8550
F,0.09,708,10000,4500
T,0.02,771,18000,8100
T,0.11,732,10000,4500
T,0.1,701,6000,2700
F,0.18,650,4000,1800
F,0.16,664,7000,3150
F,0.34,640,19000,8550
T,0.09,748,14000,6300
F,0.4,715,29000,13050
F,0.11,510,11000,4950
T,0.06,680,5000,2250
F,0.59,633,16000,7200
F,0.14,653,21000,9450
T,0.08,696,13000,5850
F,0.16,679,31000,13950
T,0.11,697,37000,16650
T,0.2,678,7000,3150
T,0.15,804,2000,900
T,0.08,694,22000,9900
F,0.49,657,6000,2700
T,0.15,678,24000,10800
T,0.22,669,3000,1350
F,0.03,444,500,225
F,0.26,697,6000,2700
F,0.6,474,4000,1800
F,0.43,715,35000,15750
F,0.09,699,2000,900
F,0.4,752,32000,14400
T,0.11,749,6000,2700
F,0.13,541,6000,2700
F,0.3,700,12000,5400
T,0.21,726,17000,7650
F,0.13,661,500,225
T,0.06,787,1000,450
F,0.14,664,5000,2250
T,0.11,702,6000,2700
T,0.09,702,19000,8550
F,0.1,514,6000,2700
T,0.08,689,2000,900
F,0.63,694,2000,900
T,0.19,776,9000,4050
T,0.08,759,18000,8100
T,0.09,688,10000,4500
T,0.03,765,5000,2250
T,0.13,769,4000,1800
T,0.15,717,14000,6300
F,0.25,689,10000,4500
F,0.4,635,6000,2700
T,0.13,783,12000,5400
F,0.43,466,3000,1350
F,0.41,729,20000,9000
F,0.01,609,14000,6300
F,0.8,667,15000,6750
F,0.22,742,20000,9000
F,0.18,674,9000,4050
F,0.03,545,6000,2700
F,0.22,567,24000,10800
F,0.21,690,38000,17100
F,0.14,533,6000,2700
T,0.22,736,4000,1800
F,0.13,680,1000,450
T,0.08,678,18000,8100
T,0.27,717,29000,13050
F,0.25,613,30000,13500
F,0.27,500,12000,5400
F,0.21,661,35000,15750
T,0.1,700,8000,3600
T,0.08,746,19000,8550
F,0.02,499,12000,5400
F,0.06,468,500,225
F,0.02,752,5000,2250
F,0.19,665,11000,4950
F,0.41,700,6000,2700
T,0.24,674,13000,5850
T,0,803,14000,6300
T,0.23,686,1000,450
F,0.31,685,16000,7200
F,0.18,695,7000,3150
T,0.06,685,20000,9000
F,0.1,684,31000,13950
F,0.21,652,17000,7650
F,0.1,666,13000,5850
T,0.29,663,7000,3150
T,0.11,673,4000,1800
F,0,661,6000,2700
F,0.41,645,20000,9000
T,0.13,649,11000,4950
T,0.14,746,3000,1350
F,0.04,661,20000,9000
T,0.09,782,24000,10800
F,0.09,513,11000,4950
T,0.2,682,9000,4050
T,0.12,672,13000,5850
F,0.63,681,41000,18450
F,0.33,685,14000,6300
T,0.09,698,14000,6300
T,0.26,754,6000,2700
T,0.02,729,10000,4500
F,0.18,708,6000,2700
T,0.15,687,3000,1350
T,0.04,718,30000,13500
T,0.21,715,18000,8100
F,0.44,701,2000,900
T,0.23,759,11000,4950
F,0.34,668,21000,9450
F,0.23,682,5000,2250
F,0.03,621,3000,1350
T,0.13,691,36000,16200
T,0.04,714,26000,11700
T,0.18,684,11000,4950
T,0.15,707,30000,13500
F,0.23,584,2000,900
F,0.09,616,3000,1350
